"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Duran, Jarren",680776,"BOS",2026,1.4882596704515343,-0.39403695078116596,2.6795899603724944,-0.7513828784699793,-0.4399474114509814,-1.9393712867976893,0.7583795650802764,0.7869547709362473,60,26,0.43333333333333324,0.3066904975665184,0.38463915323922493,1,25,0.4166666666666667,0.9615384615384616
"Perez, Salvador",521692,"KC",2026,-1.6689033130014843,-0.21894381464559648,0.429444981179137,0,-2.098348294180621,-0.8547076060578612,0,0.6357637914122646,70,19,0.27142857142857135,0.410851069237916,0.29341522461120717,0,19,0.27142857142857135,1
"Holliday, Jackson",702616,"BAL",2026,0.23039460514325924,0.20469116980515673,0.9826487556089538,0,-0.7522541504656944,-0.7721518880087025,0,0.9768430578138592,40,11,0.275,0.283137662095758,0.33217393473910517,0,11,0.275,1
"Clemens, Kody",665019,"MIN",2026,0.5938816788030883,-0.5007124341448355,2.68285439875847,-1.540236098273672,-0.5487366216817096,-2.6144767821051818,1.5396867810556658,0.5740775669046806,70,36,0.5142857142857142,0.414313867889798,0.417674823466844,2,34,0.48571428571428554,0.9444444444444444
"Contreras, Willson",575929,"BOS",2026,-1.0490927591706933,1.094695139798771,1.9422156547822782,-1.5364978561443068,-1.4548105578086652,-1.9316784421948927,1.531712005468199,1.494661576525465,88,31,0.35227272727272724,0.3455580097185019,0.34891749113925513,2,29,0.32954545454545453,0.9354838709677419
"Steer, Spencer",668715,"CIN",2026,1.5143062458503371,-1.2650716953647396,1.9185486622771546,0,-0.4042424164268169,-1.7006787862104191,0,0.4356070908456795,67,26,0.38805970149253743,0.33855612536722307,0.3520141417930336,0,26,0.38805970149253743,1
"Paredes, Isaac",670623,"HOU",2026,-0.676519504976339,-1.004036006763899,0.7594134544189218,0,-1.435932959395261,-1.5931169171730868,0,0.5890809104091878,83,24,0.2891566265060242,0.3526624983851365,0.2691417311277759,0,24,0.2891566265060242,1
"McGonigle, Kevin",805808,"DET",2026,2.798008574782284,-1.6230092856094278,5.181551064908181,-0.7548271163113343,-1.6287153738145639,-4.403034013621566,0.7543541200071913,2.0256706080049467,127,53,0.4173228346456692,0.3494337645709059,0.38428176758416605,1,52,0.40944881889763773,0.9811320754716981
"Rushing, Dalton",687221,"LAD",2026,0.6960261098099285,-0.6928642405519293,1.4858515959079577,0,-0.7898254860980289,-1.4520083042841456,0,0.7591440637322164,54,23,0.4259259259259259,0.4083513169977241,0.4094852639131304,0,23,0.4259259259259259,1
"Lee, Jung Hoo",808982,"SF",2026,-0.31200542370493933,0.8207176915740627,2.420617955207607,-1.5543256858031969,-1.1782976931093496,-2.117425739927359,1.5586394492057167,1.3795039822957051,110,41,0.3727272727272727,0.3490188979369348,0.3697054817262787,2,39,0.3545454545454546,0.9512195121951219
"Aranda, Jonathan",666018,"TB",2026,-2.103257417174256,0.5030507350900645,0.9577669871537416,-0.8583281327343844,-2.2026962715936134,-1.506476670804569,0.7838937971433627,1.2256336087512707,88,25,0.28409090909090917,0.37677757224016434,0.30206921644694656,1,24,0.27272727272727276,0.96
"Marsee, Jakob",805300,"MIA",2026,1.038419738649436,-0.7792571169646316,2.0397657256753616,0,-1.0013459870259267,-1.8704418113065613,0,1.0911846943419299,76,30,0.3947368421052632,0.3806725552472487,0.39232416456047764,0,30,0.3947368421052632,1
"Langeliers, Shea",669127,"ATH",2026,-0.04646881751279191,0.2867887636681588,1.4713220843289614,0,-1.517790901841753,-1.3330549239483505,0,1.6198436876165094,75,26,0.3466666666666667,0.39332025552443634,0.40191519331037767,0,26,0.3466666666666667,1
"Tena, José",677588,"WSH",2026,1.2722465447959146,-0.8993819868737686,1.7873555090739082,0,-0.5151089642779939,-1.571615710339442,0,0.6722337234656732,52,20,0.38461538461538464,0.3270222533590381,0.36126143602672606,0,20,0.38461538461538464,1
"Soler, Jorge",624585,"LAA",2026,-1.847711535658035,1.4211607465801543,0.6296465845608255,-0.8929169177894358,-1.5844412024294243,-0.7917001997941269,0.9579989562359053,1.2548619901383762,63,16,0.253968253968254,0.34525453344984175,0.31225782566956567,1,15,0.23809523809523814,0.9375
"Jung, Josh",673962,"TEX",2026,-1.433916547201639,0.202534123498878,1.0683841429708316,-0.7670998586001767,-1.7352008315722935,-1.5408045415733647,0.7564083714657133,0.9869302936065297,117,33,0.2820512820512823,0.33338185596788755,0.28772516071617316,1,32,0.2735042735042737,0.9696969696969697
"Andujar, Miguel",609280,"SD",2026,0.049993110139273225,-0.31956511856303593,1.1423350025158556,0,-1.092341892376583,-1.240559492250496,0,0.9209943736874604,63,20,0.31746031746031744,0.3464616589184501,0.3268764688998148,0,20,0.31746031746031744,1
"France, Ty",664034,"SD",2026,-1.8015568682391012,0.19868500946151152,0.5875411089841261,-1.594049812094585,-0.7950481651286426,-1.4905086856811145,1.5138062486102435,0.17538744653238247,58,20,0.3448275862068965,0.37122350715065566,0.26375003184177664,2,18,0.31034482758620696,0.9
"Alexander, Blaze",677942,"BAL",2026,1.563810820733695,-0.8273011952100764,2.1613783304894585,0,-0.597567509755763,-1.5813665224912903,0,0.7540653272812144,67,25,0.3731343283582091,0.323806551113895,0.3646972299543271,0,25,0.3731343283582091,1
"Gonzales, Nick",693304,"PIT",2026,0.8142975476943113,0.14321059206312794,2.5433554404304606,-0.7936101398826652,-0.9354477528534838,-2.105459860115044,0.8364757226530479,1.4121947295251238,94,32,0.3404255319148938,0.2938365008260579,0.3377475811880943,1,31,0.3297872340425531,0.96875
"Walker, Jordan",691023,"STL",2026,0.595896409826778,0.45578892937905857,2.388596534173531,0,-1.7927001243467537,-1.9684554159310148,0,2.4242443453100737,101,36,0.35643564356435636,0.3831699237471024,0.4252226639016983,0,36,0.35643564356435636,1
"Crawford, J.P.",641487,"SEA",2026,0.2597922210752977,-0.39594887702992404,0.7583134769269536,0,-0.4985212558516559,-0.8343462312775757,0,0.4383973542476514,41,10,0.2439024390243903,0.25652349475177266,0.23997597454576633,0,10,0.2439024390243903,1
