player_id,position_name,age,v_burst_0_10,v_accel_10_45,v_top_45_90,runner_runs_tot,rate_att_xb,rate_safe,n_sb,n_cs,sb_attempts,sb_success_rate
647304,1B,29,11.627906976744185,22.012578616352197,25.56818181818182,-1.11371282877546,0.2574257425742574,0.2277227722772278,18,1,19,0.9473684210526315
687263,SS,25,11.235955056179774,22.727272727272727,27.950310559006212,-1.1366625315983363,0.3942307692307693,0.3749999999999999,14,6,20,0.7
607043,RF,33,11.904761904761905,23.809523809523807,28.846153846153847,0.5365835959899203,0.3229166666666666,0.3229166666666666,3,1,4,0.75
683083,2B,25,11.764705882352942,24.305555555555557,30.2013422818792,5.68525144583643,0.3636363636363636,0.3454545454545454,30,3,33,0.9090909090909091
683083,2B,25,12.345679012345679,24.822695035460992,29.801324503311264,5.68525144583643,0.3636363636363636,0.3454545454545454,30,3,33,0.9090909090909091
660271,DH,31,12.195121951219512,23.64864864864865,27.950310559006205,0.6150709885911624,0.3829787234042555,0.3723404255319149,6,2,8,0.75
687401,SS,27,11.494252873563218,23.64864864864865,28.846153846153847,-0.656079416388353,0.3191489361702128,0.3191489361702128,6,4,10,0.6
681624,CF,25,11.494252873563218,23.17880794701987,28.301886792452827,0.3212689706387424,0.423913043478261,0.4130434782608695,10,5,15,0.6666666666666666
680700,2B,29,12.048192771084338,23.489932885906043,26.94610778443113,0.37217534538441,0.3777777777777779,0.3777777777777779,7,3,10,0.7
672724,2B,26,11.363636363636363,23.178807947019862,28.662420382165607,1.6290110612313229,0.3214285714285714,0.3214285714285714,11,2,13,0.8461538461538461
672695,SS,26,11.11111111111111,22.292993630573246,27.272727272727273,-0.5784755685560876,0.4418604651162791,0.4186046511627906,15,7,22,0.6818181818181818
672695,SS,26,11.494252873563218,22.580645161290324,26.315789473684212,-0.5784755685560876,0.4418604651162791,0.4186046511627906,15,7,22,0.6818181818181818
671976,CF,26,11.904761904761905,23.972602739726028,28.6624203821656,2.0732621282046027,0.391304347826087,0.391304347826087,5,1,6,0.8333333333333334
665161,SS,28,11.627906976744185,23.809523809523807,29.411764705882355,2.0365327710604797,0.4218749999999999,0.4062499999999999,8,1,9,0.8888888888888888
