"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,runner_runs_tot,runner_runs_per_run,pos_group
"Karros, Kyle",691720,115,COL,3B,23,131,,4.6,27.0,1.2013125751215423,0.009170325000927805,IF
"Muncy, Max",571970,119,LAD,3B,35,105,,4.43,27.0,0.7214923565042971,0.006871355776231401,IF
"Perdomo, Geraldo",672695,109,AZ,SS,26,167,,4.53,27.0,-0.5784755685560876,-0.0034639255602160936,IF
"Caglianone, Jac",695506,118,KC,RF,23,152,,4.44,27.0,1.0827991320370285,0.007123678500243608,OF
"Mead, Curtis",678554,111,BOS,3B,25,111,,4.67,27.0,-1.2571937002816909,-0.011326069371907124,IF
"Massey, Michael",686681,118,KC,2B,28,110,,4.49,27.0,-0.9432805617010284,-0.008575277833645712,IF
"Murakami, Munetaka",808959,145,CWS,1B,26,80,,4.38,27.0,-1.969246186728256,-0.0246155773341032,IF
"Monasterio, Andruw",655316,111,BOS,SS,29,63,,4.54,27.0,-1.3129731575662769,-0.020840843770893284,IF
"Fortes, Nick",663743,139,TB,C,29,119,,4.51,27.0,-0.8456339839881784,-0.007106167932673767,C
"Arozarena, Randy",668227,136,SEA,LF,31,156,,4.43,27.0,2.2318623634693417,0.01430681002223937,OF
"Kwan, Steven",680757,114,CLE,LF,28,157,,4.32,26.9,0.2983889759515249,0.001900566725805891,OF
"Lowe, Brandon",664040,134,PIT,2B,31,129,,4.33,26.9,0.1249354204420205,0.0009684916313334922,IF
"Bauers, Jake",641343,158,MIL,1B,30,135,,4.48,26.9,2.3658447299505085,0.017524775777411173,IF
"Palacios, Richie",680700,139,TB,2B,29,90,,4.4,26.9,0.37217534538441,0.004135281615382333,IF
"Dubón, Mauricio",643289,144,ATL,LF,31,157,,4.4,26.8,0.6507885738439164,0.004145150151872079,OF
"O'Hearn, Ryan",656811,134,PIT,RF,32,128,,4.57,26.8,-3.0823893247099834,-0.024081166599296745,OF
"Baty, Brett",683146,121,NYM,3B,26,127,,4.42,26.8,1.154926221334979,0.009093907254606133,IF
"Springer, George",543807,141,TOR,DH,36,110,,4.64,26.8,-1.0986575157516882,-0.00998779559774262,DH
"Rice, Ben",700250,147,NYY,1B,27,141,,4.56,26.8,-0.9189459765045772,-0.006517347351096292,IF
"Larnach, Trevor",663616,142,MIN,LF,29,120,,4.61,26.8,0.3237424517053728,0.00269785376421144,OF
"Greene, Riley",682985,116,DET,LF,25,129,,4.72,26.7,-0.3583696008848949,-0.0027780589215883325,OF
"Arraez, Luis",650333,137,SF,2B,29,189,,4.55,26.7,1.4694015139589318,0.007774611184967893,IF
"Judge, Aaron",592450,147,NYY,RF,34,76,1.0,4.84,26.7,-0.286578198320994,-0.0037707657673815,OF
"Julien, Edouard",666397,115,COL,2B,27,93,,4.54,26.7,-0.5739862331879803,-0.0061718949805159165,IF
"Stewart, Sal",701398,113,CIN,1B,22,141,,4.68,26.7,-1.1140470467829977,-0.007901042884985799,IF
"Butler, Lawrence",671732,133,ATH,RF,25,111,,4.5,26.7,-1.206348925937127,-0.010868008341775919,OF
"Grisham, Trent",663757,147,NYY,CF,29,113,,4.53,26.7,-2.124955274800473,-0.01880491393628737,OF
"Marte, Ketel",606466,109,AZ,2B,32,153,1.0,4.49,26.6,0.3289929174916788,0.0021502805064815608,IF
"DeLauter, Chase",800050,114,CLE,RF,24,146,,4.5,26.6,0.7262257401203696,0.004974148904934038,OF
"Kurtz, Nick",701762,133,ATH,1B,23,102,,4.47,26.6,-0.3238090956422338,-0.003174598976884645,IF
"Sheets, Gavin",657757,135,SD,1B,30,125,,4.51,26.6,-0.9824432942166984,-0.007859546353733588,IF
"Benintendi, Andrew",643217,145,CWS,DH,31,99,,4.48,26.6,-0.8301890370484346,-0.008385747848974086,DH
"Betts, Mookie",605141,119,LAD,SS,33,81,,4.6,26.5,-0.3731201447225294,-0.004606421539784314,IF
"Montgomery, Colson",695657,145,CWS,SS,24,92,,4.66,26.5,-2.4122582741895897,-0.02622019863249554,IF
"Lee, Brooks",686797,142,MIN,3B,25,152,,4.46,26.4,0.4712111055274803,0.0031000730626807916,IF
"Torkelson, Spencer",679529,116,DET,1B,26,93,1.0,4.73,26.4,-0.8214140797570277,-0.008832409459752987,IF
"Caminero, Junior",691406,139,TB,3B,22,170,,4.62,26.4,-1.1154820408764377,-0.006561659063979045,IF
"Okamoto, Kazuma",672960,141,TOR,3B,30,128,,4.49,26.3,-1.6447063833082909,-0.012849268619596023,IF
"Tucker, Kyle",663656,119,LAD,RF,29,117,,4.55,26.3,0.658970840138478,0.005632229402892974,OF
"Guerrero Jr., Vladimir",665489,141,TOR,1B,27,168,,4.58,26.2,-0.8147168838636762,-0.004849505261093311,IF
"Bregman, Alex",608324,112,CHC,3B,32,154,,4.66,26.2,-0.1525840786724676,-0.000990805705665374,IF
"Bell, Josh",605137,142,MIN,DH,33,138,,4.71,26.1,-2.725739980508063,-0.019751738989188864,DH
"Eldridge, Bryce",805811,137,SF,DH,21,77,,4.52,26.1,-2.34835772931592,-0.030498152328778182,DH
"Johnston, Troy",687859,115,COL,RF,29,122,,4.5,26.1,-0.5795367669612698,-0.004750301368534998,OF
"Díaz, Yandy",650490,139,TB,DH,34,186,,4.66,26.1,-1.3337020158163388,-0.0071704409452491335,DH
"Devers, Rafael",646240,137,SF,1B,29,147,1.0,4.61,26.1,-0.4758821232306149,-0.0032372933553103055,IF
"Bichette, Bo",666182,121,NYM,3B,28,165,,4.7,26.0,-1.975670830537876,-0.011973762609320461,IF
"Moreno, Gabriel",672515,109,AZ,C,26,127,,4.49,26.0,-0.2161273799290938,-0.001701790393142471,C
"Baldwin, Drake",686948,144,ATL,C,25,124,1.0,4.44,26.0,-0.4541256333042712,-0.003662303494389284,C
"Herrera, Iván",671056,138,STL,DH,26,174,,4.73,25.9,-2.4334122398401394,-0.013985127815173215,DH
"Busch, Michael",683737,112,CHC,1B,28,152,,4.65,25.9,-2.873029317729063,-0.01890150866927015,IF
"Soto, Juan",665742,121,NYM,LF,27,106,,4.48,25.9,-1.191067156176792,-0.011236482605441434,OF
"Contreras, William",661388,158,MIL,C,28,150,,4.59,25.9,-2.340472201441111,-0.015603148009607408,C
"Walker, Christian",572233,117,HOU,1B,35,149,,4.7,25.8,-0.077726768243693,-0.0005216561627093489,IF
