"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,entity_name,team_name,start_year,end_year,runner_runs_tot,runner_runs_XB,runner_runs_SBX,N_runner_moved,runner_runs_XB_swipe,runner_runs_XB_snipe,runner_runs_XB_freeze,N_runner_moved_XB,runner_runs_SB2,runner_runs_SB3,simple_stolen_on_running_act_SB2,simple_stolen_on_running_act_SB3,N_runner_moved_SBX,runner_runs_per_run
"Hamilton, David",666152,158,MIL,3B,28,78,43.0,4.02,29.4,"Hamilton, David",MIL,2026,2026,2.028290021829986,0.8369892296023866,1.191300792227599,33,1.3067782491248925,0.0,-0.4697890195225058,17,0.628127161002404,0.5631736312251949,5.2690514922775,2.736875081354868,16,0.026003718228589563
"Crews, Dylan",686611,120,WSH,RF,24,87,4.0,4.28,29.3,"Crews, Dylan",WSH,2026,2026,1.6814223656180047,0.4965484382355699,1.184873927382435,24,1.2052280454371964,0.0,-0.7086796072016264,18,1.221144320834619,-0.036270393452184,4.7892888741915085,-0.3194655649951523,6,0.019326693857678216
"Lile, Daylen",695734,120,WSH,LF,23,151,23.0,4.21,29.3,"Lile, Daylen",WSH,2026,2026,0.5304909590636702,1.740840353504369,-1.210349394440699,51,3.0986729061862124,0.0,-1.3578325526818429,40,-0.6279793897775408,-0.5823700046631579,-0.6265281959136194,-1.8804703130506173,11,0.003513185159362054
"Young, Jacob",696285,120,WSH,CF,26,121,20.0,4.3,29.3,"Young, Jacob",WSH,2026,2026,2.156965539234646,1.885011268797221,0.2719542704374247,37,2.057248939334903,0.0,-0.172237670537682,25,-0.0951335599226525,0.3670878303600769,1.5604846326169226,1.6218319588366956,12,0.017826161481278066
"Smith, Cam",701358,117,HOU,RF,23,143,24.0,4.37,29.2,"Smith, Cam",HOU,2026,2026,1.3862043962299782,1.850260421411733,-0.4640560251817549,37,2.071780671049363,0.0,-0.2215202496376296,22,-0.4236527830236881,-0.0404032421580666,2.445229910546587,-0.4649038168283828,15,0.009693737036573273
"Peña, Jeremy",665161,117,HOU,SS,28,104,15.0,4.35,29.2,"Peña, Jeremy",HOU,2026,2026,2.0365327710604797,0.9235592359305448,1.1129735351299346,37,2.545351940053297,-0.9863296467611036,-0.635463057361649,27,0.8925082156860819,0.2204653194438527,3.432310085263809,0.5944210581305301,10,0.019582045875581537
"Walker, Jordan",691023,138,STL,RF,24,156,21.0,4.35,29.2,"Walker, Jordan",STL,2026,2026,1.6076575544832736,0.5958964098267782,1.0117611446564956,52,2.388596534173532,0.0,-1.7927001243467535,36,1.5970646957076968,-0.5853035510512015,8.202912608527873,-1.96050525277684,16,0.010305497144123548
"Thomas, Lane",657041,118,KC,CF,30,108,15.0,4.38,29.1,"Thomas, Lane",KC,2026,2026,1.1815957751809942,0.9714535263699886,0.2101422488110057,38,2.2402093622241672,-0.9105637805848088,-0.3581920552693699,30,0.237277631977733,-0.0271353831667272,2.4787947638905776,-0.2849826044625309,8,0.010940701622046243
"Rafaela, Ceddanne",678882,111,BOS,CF,25,179,21.0,4.11,29.1,"Rafaela, Ceddanne",BOS,2026,2026,1.7615605651559076,2.924347217859859,-1.1627866527039514,58,4.309251968737698,-0.7789636888618564,-0.6059410620159815,39,-0.7251901150581582,-0.4375965376457931,1.958010834208057,-1.1464825391703153,19,0.009841120475731328
"Duran, Jarren",680776,111,BOS,LF,29,128,9.0,4.22,29.1,"Duran, Jarren",BOS,2026,2026,2.262303520558888,1.488259670451534,0.7740438501073534,42,2.679589960372495,-0.7513828784699793,-0.4399474114509814,26,0.8338257123804742,-0.0597818622731206,5.58752829910227,-0.4511689392182532,16,0.017674246254366314
