"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Tawa, Tim",694374,109,"AZ","LF",27,"55",,"4.48","27.4"
"Naylor, Bo",666310,114,"CLE","C",26,"25",,"4.41","27.3"
"Ramírez, Agustín",682663,146,"MIA","C",24,"50",,"4.67","27.3"
"Fermín, José",665877,138,"STL","3B",27,"79",,"4.44","27.3"
"Andujar, Miguel",609280,135,"SD","DH",31,"124",,"4.46","27.3"
"Rushing, Dalton",687221,119,"LAD","C",25,"65",,"4.45","27.3"
"Rincones Jr., Gabriel",687282,143,"PHI","RF",25,"28",,"4.45","27.3"
"Rocchio, Brayan",677587,114,"CLE","SS",25,"155",,"4.50","27.3"
"Goodman, Hunter",696100,115,"COL","C",26,"94",,"4.55","27.3"
"Varsho, Daulton",662139,141,"TOR","CF",29,"128",,"4.31","27.3"
"Gilbert, Drew",687551,137,"SF","CF",25,"92",,"4.35","27.3"
"Lee, Jung Hoo",808982,137,"SF","RF",27,"201",,"4.32","27.3"
"Feduccia, Hunter",676439,139,"TB","C",29,"48",,"4.52","27.3"
"Wood, James",695578,120,"WSH","RF",23,"146","4","4.28","27.3"
"Acuña Jr., Ronald",660670,144,"ATL","RF",28,"62","1","4.42","27.3"
"Hays, Austin",669720,145,"CWS","LF",30,"19",,"4.50","27.3"
"O'Hoppe, Logan",681351,108,"LAA","C",26,"76",,"4.53","27.3"
"Meidroth, Chase",805367,145,"CWS","2B",24,"176",,"4.44","27.3"
"Contreras, Willson",575929,111,"BOS","1B",34,"117",,"4.59","27.2"
"Short, Zack",670097,121,"NYM","SS",31,"10",,,"27.2"
"Delgado, Raynel",669384,117,"HOU","3B",26,"16",,"4.42","27.2"
"Yelich, Christian",592885,158,"MIL","DH",34,"125",,"4.45","27.2"
"Castellanos, Nick",592206,135,"SD","RF",34,"31",,"4.46","27.2"
"Grichuk, Randal",545341,145,"CWS","LF",34,"57",,"4.58","27.2"
"Piñango, Yohendrick",682818,141,"TOR","LF",24,"63",,"4.49","27.2"
"Fermin, Freddy",666023,135,"SD","C",31,"52",,"4.56","27.2"
"Harper, Bryce",547180,143,"PHI","1B",33,"146",,"4.48","27.2"
"Burger, Jake",669394,140,"TEX","1B",30,"132",,"4.49","27.2"
"Trammell, Taylor",666211,117,"HOU","CF",28,"42",,"4.32","27.2"
"Correa, Carlos",621043,117,"HOU","SS",31,"58",,"4.61","27.2"
"Melendez, MJ",669004,121,"NYM","DH",27,"29",,,"27.2"
"Smith, Will",669257,119,"LAD","C",31,"50",,"4.59","27.2"
"Song, Sung-Mun",823550,135,"SD","2B",29,"45",,"4.33","27.2"
"Bericoto, Victor",682674,137,"SF","LF",24,"25",,"4.66","27.1"
"Yastrzemski, Mike",573262,144,"ATL","LF",35,"87",,"4.41","27.1"
"Ramos, Heliot",671218,137,"SF","LF",26,"119",,"4.52","27.2"
"Soderstrom, Tyler",691016,133,"ATH","LF",24,"151",,"4.41","27.1"
"Báez, Javier",595879,116,"DET","SS",33,"43",,"4.48","27.1"
"Jackson, Jeremiah",669236,110,"BAL","2B",26,"92",,"4.66","27.1"
"Vargas, Ildemaro",545121,109,"AZ","1B",34,"135","1","4.43","27.1"
"Emerson, Colt",806068,136,"SEA","SS",20,"66",,"4.34","27.1"
"Roden, Alan",702176,142,"MIN","RF",26,"13",,,"27.1"
"Wilson, Jacob",805779,133,"ATH","SS",24,"126","1","4.49","27.1"
"White, Tommy",695720,133,"ATH","3B",23,"26",,"4.61","27.1"
"Rengifo, Luis",650859,135,"SD","3B",29,"121",,"4.35","27.1"
"Lukes, Nathan",664770,141,"TOR","RF",31,"116",,"4.43","27.1"
"Susac, Daniel",691740,137,"SF","C",25,"40",,"4.58","27.0"
"Albies, Ozzie",645277,144,"ATL","2B",29,"164",,"4.29","27.0"
"Joe, Connor",656582,136,"SEA","RF",33,"12",,,"27.0"
"Bogaerts, Xander",593428,135,"SD","SS",33,"164",,"4.48","27.0"
"Karros, Kyle",691720,115,"COL","3B",23,"131",,"4.60","27.0"
"Muncy, Max",571970,119,"LAD","3B",35,"105",,"4.43","27.0"
"Rodríguez, Endy",682848,134,"PIT","C",26,"38",,,"27.0"
"Schneider, Davis",676914,141,"TOR","LF",27,"28",,"4.59","27.0"
"Vivas, Jorbit",678391,120,"WSH","3B",25,"96",,"4.50","27.0"
"Refsnyder, Rob",608701,136,"SEA","DH",35,"32",,"4.55","27.0"
"Perdomo, Geraldo",672695,109,"AZ","SS",26,"167",,"4.53","27.0"
"Caglianone, Jac",695506,118,"KC","RF",23,"152",,"4.44","27.0"
"Mead, Curtis",678554,111,"BOS","3B",25,"111",,"4.67","27.0"
"Massey, Michael",686681,118,"KC","2B",28,"110",,"4.49","27.0"
"Murakami, Munetaka",808959,145,"CWS","1B",26,"80",,"4.38","27.0"
"Teel, Kyle",691019,145,"CWS","C",24,"22",,,"27.0"
"Monasterio, Andruw",655316,111,"BOS","SS",29,"63",,"4.54","27.0"
"Fortes, Nick",663743,139,"TB","C",29,"119",,"4.51","27.0"
"Stephenson, Tyler",663886,113,"CIN","C",29,"66",,"4.60","26.9"
"Arozarena, Randy",668227,136,"SEA","LF",31,"156",,"4.43","27.0"
"Kwan, Steven",680757,114,"CLE","LF",28,"157",,"4.32","26.9"
"Murray, Tanner",695020,145,"CWS","LF",26,"11",,,"26.9"
"Lowe, Brandon",664040,134,"PIT","2B",31,"129",,"4.33","26.9"
"Hayes, Ke'Bryan",663647,113,"CIN","3B",29,"42",,"4.61","26.9"
"Morel, Christopher",666624,146,"MIA","1B",27,"19",,,"26.9"
"Jansen, Danny",643376,140,"TEX","C",31,"36",,"4.59","26.9"
"Bauers, Jake",641343,158,"MIL","1B",30,"135",,"4.48","26.9"
"Gonzalez, Romy",663853,111,"BOS","DH",29,"30",,"4.49","26.9"
"Carpenter, Kerry",681481,116,"DET","RF",28,"55",,"4.44","26.9"
"Freeland, Alex",690976,119,"LAD","2B",24,"77",,"4.52","26.9"
"Stubbs, Garrett",596117,143,"PHI","C",33,"11",,"4.36","26.9"
"Kelenic, Jarred",672284,140,"TEX","RF",26,"16",,,"26.9"
"Palacios, Richie",680700,139,"TB","2B",29,"90",,"4.40","26.9"
"Dubón, Mauricio",643289,144,"ATL","LF",31,"157",,"4.40","26.8"
"Allen, Nick",669397,117,"HOU","SS",27,"45",,"4.50","26.8"
"Crooks, Jimmy",699625,138,"STL","C",24,"18",,"4.47","26.8"
"O'Hearn, Ryan",656811,134,"PIT","RF",32,"128",,"4.57","26.8"
"Gasper, Mickey",681508,111,"BOS","DH",30,"44",,"4.43","26.8"
"Baty, Brett",683146,121,"NYM","3B",26,"127",,"4.42","26.8"
"Springer, George",543807,141,"TOR","DH",36,"110",,"4.64","26.8"
"Rice, Ben",700250,147,"NYY","1B",27,"141",,"4.56","26.8"
"Groover, LuJames",694410,109,"AZ","1B",24,"20",,"4.63","26.8"
"Madrigal, Nick",663611,108,"LAA","2B",29,"26",,"4.37","26.8"
"Friedl, TJ",670770,113,"CIN","CF",30,"63",,"4.42","26.8"
"Larnach, Trevor",663616,142,"MIN","LF",29,"120",,"4.61","26.8"
"Urías, Ramón",602104,138,"STL","3B",32,"22",,"4.66","26.7"
"Ward, Ryan",669899,119,"LAD","LF",28,"19",,,"26.7"
